objectID,bairr_mun,empregos,populacao,pia,domicilios,area_plan,RA,pop2000,renda
373,Vicente de Carvalho,3859,24964,17111,8099,3,NA,24310,1841.69
478,Vidigal,1461,12797,9074,4247,2,NA,13719,1639.85
333,Vigário Geral,15469,41820,28730,12535,3,NA,39563,1420.63
364,Vila da Penha,6785,25465,18101,30464,3,NA,24 290,3873.03
436,Vila Isabel,15464,86018,60155,5716,2,NA,81858,4534.17
371,Vila kosmos,964,18274,12976,8831,3,NA,17 673,2695.76
366,Vila Militar,60,13184,9363,4095,5,NA,13691,2805.79
399,Vila Valqueire,9216,32279,23086,9849,4,NA,31717,4091.93
359,Vista Alegre,2381,8622,6090,2921,3,NA,8347,3132.26
353,Zumbi,261,2016,1432,711,3,NA,2041,4573.94
0,Belford Roxo - RJ,31973,0,0,0,0,0,0,0
0,Cachoeiras de Macacu - RJ,6524,0,0,0,0,0,0,0
0,Duque de Caxias - RJ,153689,0,0,0,0,0,0,0
0,Guapimirim - RJ,4931,0,0,0,0,0,0,0
0,Itaboraí - RJ,26353,0,0,0,0,0,0,0
0,Itaguaí - RJ,28259,0,0,0,0,0,0,0
0,Japeri - RJ,5471,0,0,0,0,0,0,0
0,Magé - RJ,23888,0,0,0,0,0,0,0
0,Maricá - RJ,14190,0,0,0,0,0,0,0
0,Mesquita - RJ,15933,0,0,0,0,0,0,0
0,Nilópolis - RJ,17313,0,0,0,0,0,0,0
0,Niterói - RJ,173694,0,0,0,0,0,0,0
0,Nova Iguaçu - RJ,98052,0,0,0,0,0,0,0
0,Paracambi - RJ,5349,0,0,0,0,0,0,0
0,Petrópolis - RJ,68974,0,0,0,0,0,0,0
0,Queimados - RJ,15107,0,0,0,0,0,0,0
0,Rio Bonito - RJ,16195,0,0,0,0,0,0,0
0,São Gonçalo - RJ,111221,0,0,0,0,0,0,0
0,São João de Meriti - RJ,57188,0,0,0,0,0,0,0
0,Seropédica - RJ,13092,0,0,0,0,0,0,0
0,Tanguá - RJ,3543,0,0,0,0,0,0,0
